"","permno","permco","namedt","nameenddt","cusip","ncusip","ticker","comnam","hexcd","exchcd","siccd","shrcd","shrcls","st_date","end_date","namedum"
"37068",83246,14410,1996-03-06,2000-09-06,"17003810","17003810","CHRX","CHIREX INC",3,3,2830,11,NA,1996-03-29,2000-09-29,2
"10649",23318,6249,1983-08-02,2006-04-19,"17004010","17004010","CHIR","CHIRON CORP",3,3,7391,11,NA,1983-08-31,2006-04-28,2
"10655",23326,991,1998-02-18,2007-12-31,"17022810","17022810","CHZ","CHITTENDEN CORP",1,1,6022,11,NA,1979-07-31,2007-12-31,2
"12187",26841,20443,1968-01-02,1999-10-15,"17026810","17026810","CHF","CHOCK FULL O NUTS CORP",1,1,5812,11,NA,1959-06-30,1999-10-29,2
"39312",85255,32051,1997-08-08,2008-09-18,"17038810","17038810","CPS","CHOICEPOINT INC",1,1,7323,11,NA,1997-08-29,2008-09-30,2
"42033",87596,18006,2000-02-17,2002-12-09,"17038P10","17038P10","CWON","CHOICE ONE COMMUNICATIONS INC",3,3,4810,11,NA,2000-02-29,2002-12-31,2
"31508",77701,11593,1992-06-26,2007-09-12,"17039310","17039310","CTEC","CHOLESTECH CORP",3,3,3820,11,NA,1992-06-30,2007-09-28,2
"42133",87649,17990,2007-02-20,2010-04-21,"17040430","17040430","CHRD","CHORDIANT SOFTWARE INC",3,3,7372,11,NA,2000-02-29,2010-04-30,2
"9717",21282,20444,1968-01-02,2001-07-31,"17052010","17052010","CCN","CHRIS CRAFT INDS INC",1,1,3732,11,NA,1940-05-31,2001-07-31,2
"13619",30525,20445,1978-12-13,1999-02-08,"17081910","17081910","CST","CHRISTIANA COMPANIES INC",1,1,6552,11,NA,1962-07-31,1999-02-26,2
"31183",77478,11439,2002-07-17,2018-06-29,"17104610","17104610","CBK","CHRISTOPHER AND BANKS CORP",1,1,5621,11,NA,1992-03-31,2018-06-29,2
"7201",16007,55544,2016-04-25,2018-06-29,"17107740","17107740","CDXC","CHROMADEX CORP",3,3,9999,11,NA,2016-04-29,2018-06-29,2
"32353",78872,11942,2001-04-23,2001-12-04,"17111630","17111630","CCSI","CHROMATICS COLOR SCI INTL INC",3,3,8990,11,NA,1993-02-26,2001-12-31,2
"31270",77521,11476,2004-06-08,2013-04-29,"17111710","17111710","CRC","CHROMCRAFT REVINGTON INC",2,2,2514,11,NA,1992-04-30,2013-04-30,2
"31118",77427,11419,1992-03-20,2005-03-11,"17116410","17116410","CHMD","CHRONIMED INC",3,3,8090,11,NA,1992-03-31,2005-03-31,2
"30710",77170,11246,1996-12-20,1999-04-30,"17118810","17118810","CRLS","CHRYSALIS INTERNATIONAL CORP",3,3,2830,11,NA,1991-12-31,1999-04-30,2
"2438",11260,20446,1968-01-02,1998-11-12,"17119610","17119610","C","CHRYSLER CORP",1,1,3711,11,NA,1925-12-31,1998-11-30,2
"23286",59192,900,1984-02-29,2016-01-14,"17123210","17123210","CB","CHUBB CORP",1,1,6711,11,NA,1972-12-29,2016-01-29,2
"10678",23393,1103,1990-08-15,2018-06-29,"17134010","17134010","CHD","CHURCH & DWIGHT INC",1,1,2841,11,NA,1976-12-31,2018-06-29,2
"32561",79026,27849,1993-03-29,2018-06-29,"17148410","17148410","CHDN","CHURCHILL DOWNS INC",3,3,7940,11,NA,1993-03-31,2018-06-29,2
"28472",75705,10119,1992-05-26,1995-12-06,"17156920","17156920","CHUR","CHURCHILL TECHNOLOGY INC",3,3,1310,11,NA,1989-02-28,1995-12-29,2
"45613",91851,51964,2007-03-16,2008-12-19,"17157P10","17157P10","CHV","CHURCHILL VENTURES LTD",2,2,6770,11,NA,2007-03-30,2008-12-31,2
"5181",13520,54141,2012-07-24,2018-06-29,"17160410","17160410","CHUY","CHUYS HOLDINGS INC",3,3,9999,11,NA,2012-07-31,2018-06-29,2
"26454",68320,902,2013-05-23,2015-03-09,"17160710","17160710","CHYR","CHYRONHEGO CORP",3,3,3861,11,NA,1976-03-31,2015-03-31,2
"2523",11312,8862,1993-02-22,1997-10-08,"17162010","17162010","CIAT","CIATTIS INC",3,3,5810,11,NA,1987-05-29,1997-10-31,2
"34180",80316,12924,1997-06-19,2017-04-07,"17163B10","17163B10","CBR","CIBER INC",1,1,7371,11,NA,1994-03-31,2017-04-28,2
"6673",15286,55226,2015-04-15,2018-06-29,"17175710","17175710","CDTX","CIDARA THERAPEUTICS INC",3,3,9999,11,NA,2015-04-30,2018-06-29,2
"34175",80313,12899,1994-03-03,2002-02-06,"17176810","17176810","CDCO","CIDCO INC",3,3,5060,11,NA,1994-03-31,2002-02-28,2
"38661",84519,15321,2013-12-23,2018-06-29,"17177930","17177930","CIEN","CIENA CORP",1,1,3661,11,NA,1997-02-28,2018-06-29,2
"10998",24117,20447,1985-05-07,1999-10-18,"17179410","17179410","CER","CILCORP INC",1,1,4931,11,NA,1949-09-30,1999-10-29,2
"34699",80740,13231,1994-07-29,2004-08-12,"17179610","17179610","CIMA","CIMA LABS INC",3,3,2830,11,NA,1994-07-29,2004-08-31,2
"43636",89509,43520,2002-10-01,2018-06-29,"17179810","17179810","XEC","CIMAREX ENERGY CO",1,1,1311,11,NA,2002-10-31,2018-06-29,2
"514",10248,8174,1987-09-25,1996-02-23,"17184210","17184210","CIMC","CIMCO INC",3,3,3070,11,NA,1986-05-30,1996-02-29,2
"172",10083,8026,1989-02-27,1993-09-09,"17185310","17185310","CMTK","CIMFLEX TEKNOWLEDGE CORP",3,3,7370,11,NA,1986-03-31,1993-09-30,2
"19784",47677,20448,2016-10-05,2018-06-29,"17187150","17187150","CBB","CINCINNATI BELL INC NEW",1,1,4813,11,NA,1969-02-28,2018-06-29,2
"10712",23473,912,1972-12-14,2018-06-29,"17206210","17206210","CINF","CINCINNATI FINANCIAL CORP",3,3,6711,11,NA,1972-12-29,2018-06-29,2
"10717",23481,6687,1983-12-13,1997-04-08,"17216710","17216710","CNMW","CINCINNATI MICROWAVE INC",3,3,3662,11,NA,1983-12-30,1997-04-30,2
"43916",89889,44600,2016-05-10,2018-06-29,"17240620","17240620","CIDM","CINEDIGM CORP",3,3,7379,11,"A",2003-11-28,2018-06-29,2
"45653",91915,52115,2007-04-24,2018-06-29,"17243V10","17243V10","CNK","CINEMARK HOLDINGS INC",1,1,7832,11,NA,2007-04-30,2018-06-29,2
"35376",81264,13550,1998-12-02,2001-01-04,"17244C20","17244C20","LUXY","CINEMASTAR LUXURY THEATERS INC",3,3,7830,11,NA,1995-02-28,2001-01-31,2
"34571",80618,13150,1994-06-17,1997-12-29,"17247010","17247010","CINE","CINERGI PICTURES ENTMT INC",3,3,7810,11,NA,1994-06-30,1997-12-31,2
"10489",22947,20449,1994-10-25,2006-03-31,"17247410","17247410","CIN","CINERGY CORP",1,1,6719,11,NA,1946-08-30,2006-03-31,2
"10738",23537,6130,1983-07-01,2008-07-31,"17252910","17252910","CPCI","CIPRICO INC",3,3,3674,11,NA,1983-07-29,2008-07-31,2
"25096",64178,602,1993-03-26,1995-07-17,"17253C10","17253C10","RXC","CIRCA PHARMACEUTICALS INC",2,2,2834,11,NA,1977-09-30,1995-07-31,2
"6500",15061,55107,2014-11-24,2016-12-08,"17253X10","17253X10","CPHR","CIPHER PHARMACEUTICALS INC",3,3,9999,11,NA,2014-11-28,2016-12-30,2
"30116",76775,11065,1991-08-06,1996-10-11,"17256410","17256410","CRCL","CIRCLE FINANCIAL CORP",3,3,6710,11,NA,1991-08-30,1996-10-31,2
"10742",23545,850,1976-03-29,1993-07-30,"17256510","17256510","CFNE","CIRCLE FINE ART CORP",3,3,5999,11,NA,1976-03-31,1993-07-30,2
"17419",41014,2085,1997-05-14,2000-10-02,"17257410","17257410","CRCL","CIRCLE INTERNATIONAL INC",3,3,4510,11,NA,1977-06-30,2000-10-31,2
"35428",81296,30855,1995-03-23,1996-05-30,"17258510","17258510","CRK","CIRCLE K CORP DEL",1,1,5411,11,NA,1995-03-31,1996-05-31,2
"10763",23588,5398,1983-07-07,1999-01-05,"17273610","17273610","CCON","CIRCON CORP",3,3,3651,11,NA,1983-07-29,1999-01-29,2
"19642",47175,20453,1984-06-21,2008-11-07,"17273710","17273710","CC","CIRCUIT CITY STORES INC",1,1,5732,11,NA,1968-11-29,2008-11-28,2
"38750",84577,20453,1997-02-04,2002-09-30,"17273730","17273730","KMX","CIRCUIT CITY STORES INC",1,1,5521,11,NA,1997-02-28,2002-09-30,2
"41633",87268,36337,1999-10-19,2018-06-29,"17273K10","17273K10","CIR","CIRCOR INTERNATIONAL INC",1,1,3823,11,NA,1999-10-29,2018-06-29,2
"10769",23596,6553,1992-09-11,1998-03-31,"17274320","17274320","CRLI","CIRCUIT RESEARCH LABS INC",3,3,3660,11,NA,1983-11-30,1998-03-31,2
"28327",75603,10210,1989-06-09,2018-06-29,"17275510","17275510","CRUS","CIRRUS LOGIC INC",3,3,3670,11,NA,1989-06-30,2018-06-29,2
"29024",76076,10486,1990-02-16,2018-06-29,"17275R10","17275R10","CSCO","CISCO SYSTEMS INC",3,3,3570,11,NA,1990-02-28,2018-06-29,2
"40509",86252,16192,1998-07-01,2001-06-26,"17285320","17285320","CITC","CITADEL COMMUNICATIONS CORP",3,3,4830,11,NA,1998-07-31,2001-06-29,2
"43841",89806,44267,2003-08-01,2009-03-05,"17285T10","17285T10","CDL","CITADEL BROADCASTING CORP",1,1,4832,11,NA,2003-08-29,2009-03-31,2
"25610",65525,20454,1983-12-13,2000-01-04,"17286210","17286210","CDL","CITADEL HOLDING CORP",2,2,6711,11,NA,1983-12-30,2000-01-31,2
"44137",90124,45080,2004-04-30,2006-05-04,"17288Q10","17288Q10","CDSS","CITADEL SECURITY SOFTWARE INC",3,3,7372,11,NA,2004-04-30,2006-05-31,2
"31854",78022,11772,1992-10-23,2000-08-22,"17289410","17289410","CITA","CITATION COMPUTER SYSTEMS INC",3,3,7370,11,NA,1992-10-30,2000-08-31,2
"34779",80802,13238,1994-08-02,1999-12-01,"17289510","17289510","CAST","CITATION CORP ALABAMA",3,3,3320,11,NA,1994-08-31,1999-12-31,2
"10795",23660,6304,1983-08-19,2018-06-29,"17290810","17290810","CTAS","CINTAS CORP",3,3,7213,11,NA,1983-08-31,2018-06-29,2
"40875",86677,7757,1985-09-26,2000-06-01,"17291710","17291710","CSYI","CIRCUIT SYSTEMS INC",3,3,3670,11,NA,1985-09-30,2000-06-30,2
"44516",90534,46103,2005-01-13,2018-06-29,"17292210","17292210","CZNC","CITIZENS & NORTHERN CORP",3,3,6712,11,NA,2005-01-31,2018-06-29,2
"33748",79972,12742,1994-06-08,1996-09-18,"17293610","17293610","CITI","CITICASTERS INC",3,3,4830,11,"A",1994-02-28,1996-09-30,2
"26995",70519,20483,2011-05-09,2018-06-29,"17296742","17296742","C","CITIGROUP INC",1,1,6021,11,NA,1986-10-31,2018-06-29,2
"30890",77273,11303,1992-01-22,1998-06-25,"17302910","17302910","CTZN","CITFED BANCORP INC",3,3,6030,11,NA,1992-01-31,1998-06-30,2
"34184",80318,12892,1994-03-01,1997-02-28,"17303010","17303010","CNBL","CITI BANCSHARES INC",3,3,6710,11,NA,1994-03-31,1997-02-28,2
"19598",47079,20456,1985-09-30,1998-10-07,"17303410","17303410","CCI","CITICORP",1,1,6711,11,NA,1968-11-29,1998-10-30,2
"35881",81771,30918,1995-07-14,1997-07-31,"17306A10","17306A10","CZF","CITISAVE FINANCIAL CORP",2,2,6282,10,NA,1995-07-31,1997-07-31,2
"44686",90706,46691,2005-05-18,2018-06-29,"17306X10","17306X10","CTRN","CITI TRENDS INC",3,3,5600,11,NA,2005-05-31,2018-06-29,2
"10824",23713,6579,1988-04-07,1996-12-31,"17316010","17316010","CIBC","CITIZENS BANCORP MD",3,3,6710,11,NA,1983-11-30,1996-12-31,2
"7763",16857,56031,2017-08-03,2018-06-29,"17322U20","17322U20","CTXR","CITIUS PHARMACEUTICALS INC",3,3,9999,11,NA,2017-08-31,2018-06-29,2
"40879",86685,7569,2011-07-05,2013-04-12,"17442030","17442030","CRBC","CITIZENS REPUBLIC BANCORP INC",3,3,6021,11,NA,1985-05-31,2013-04-30,2
"32572",79035,29775,1993-03-19,1998-12-02,"17453310","17453310","CZC","CITIZENS CORP",1,1,6311,11,NA,1993-03-31,1998-12-31,2
"6364",14889,55006,2014-09-24,2018-06-29,"17461010","17461010","CFG","CITIZENS FINANCIAL GROUP INC",1,1,6022,11,NA,2014-09-30,2018-06-29,2
"32426",78922,11941,1993-02-08,2007-11-13,"17461310","17461310","CNFL","CITIZENS FINANCIAL CORP KY",3,3,6710,11,NA,1993-02-26,2007-11-30,2
"23784",60601,20457,1982-10-04,1994-09-30,"17461910","17461910","CFB","CITIZENS FIRST BANCORP",2,2,6025,11,NA,1978-12-29,1994-09-30,2
"43209",88943,41387,2001-03-07,2010-02-19,"17461R10","17461R10","CTZN","CITIZENS FIRST BANCORP INC",3,3,6036,11,NA,2001-03-30,2010-02-26,2
"37321",83444,31629,2000-10-02,2005-03-31,"17462310","17462310","CFSB","CITIZENS FIRST FINANCIAL CORP",3,3,6035,11,NA,1996-05-31,2005-03-31,2
"45449",91608,51444,2006-11-03,2018-06-29,"17462Q10","17462Q10","CZFC","CITIZENS FIRST CORP",3,3,6021,11,NA,2006-11-30,2018-06-29,2
"41635",87269,36338,2006-11-16,2018-06-29,"17471510","17471510","CIZN","CITIZENS HOLDING CO",3,3,6022,11,NA,1999-10-29,2018-06-29,2
"10846",23799,913,2002-08-22,2018-06-29,"17474010","17474010","CIA","CITIZENS INC",1,1,6311,11,"A",1980-12-31,2018-06-29,2
"42373",88151,37147,2000-04-26,2001-04-30,"17490010","17490010","CCBI","CITIZENS CMNTY BANCORP INC",3,3,6022,11,NA,2000-04-28,2001-04-30,2
"45450",91609,51445,2006-11-01,2018-06-29,"17490310","17490310","CZWI","CITIZENS CMNTY BANCORP INC MD",3,3,6035,11,NA,2006-11-30,2018-06-29,2
"31889",78048,11784,1992-11-02,1994-04-04,"17654210","17654210","CNCN","CITIZENS NATIONAL CORP",3,3,6710,11,NA,1992-11-30,1994-04-29,2
"28207",75529,8835,1986-12-17,1996-08-20,"17667210","17667210","CSGI","CITIZENS SECURITY GROUP INC",3,3,6330,11,NA,1986-12-31,1996-08-30,2
"40159",85980,16048,2002-10-01,2012-09-28,"17668210","17668210","CSBC","CITIZENS SOUTH BANKING CORP DEL",3,3,6030,11,NA,1998-04-30,2012-09-28,2
"10882",23879,925,1992-02-24,1997-08-22,"17734210","17734210","CZN","CITIZENS UTILITIES CO DEL",1,1,4939,11,"A",1972-12-29,1997-08-29,2
"36623",82686,14201,1995-12-08,2018-06-29,"17737610","17737610","CTXS","CITRIX SYSTEMS INC",3,3,7370,11,NA,1995-12-29,2018-06-29,2
"41302",87024,16572,1999-06-09,2010-04-16,"17770A10","17770A10","CTBK","CITY BANK LYNNWOOD WASHINGTON",3,3,6020,11,NA,1999-06-30,2010-04-30,2
"2785",11442,9280,1987-06-23,2018-06-29,"17783510","17783510","CHCO","CITY HOLDING CO",3,3,6710,11,NA,1987-06-30,2018-06-29,2
"10911",23916,1194,1990-05-17,2015-10-30,"17856610","17856610","CYN","CITY NATIONAL CORP",1,1,6712,11,NA,1972-12-29,2015-10-30,2
"44016",89979,44796,2004-01-16,2007-02-20,"17857110","17857110","CSN","CITY NETWORK INC",2,2,6798,11,NA,2004-01-30,2007-02-28,2
"36624",82687,14256,1995-12-20,1998-05-01,"17877810","17877810","CTYS","CITYSCAPE FINANCIAL CORP",3,3,6190,11,NA,1995-12-29,1998-05-29,2
"28783",75928,10468,1990-01-23,2002-02-28,"17878810","17878810","CIVC","CIVIC BANCORP",3,3,6710,11,NA,1990-01-31,2002-02-28,2
"6132",14619,54839,2014-06-02,2015-07-16,"17878Y10","17878710","CVEO","CIVEO CORP",1,1,7011,11,NA,2014-06-30,2018-06-29,2
"43226",88965,41460,2015-05-04,2018-06-29,"17886710","17886710","CIVB","CIVISTA BANCSHARES INC",3,3,6022,11,NA,2001-04-30,2018-06-29,2
"45298",91399,50972,2006-07-18,2007-05-18,"17887110","17887110","CVBG","CIVITAS BANKGROUP INC",3,3,6022,11,NA,2006-07-31,2007-05-31,2
"6365",14890,55007,2014-09-17,2018-06-29,"17887R10","17887R10","CIVI","CIVITAS SOLUTIONS INC",1,1,0,11,NA,2014-09-30,2018-06-29,2
"40764",86522,16344,1999-04-06,2002-03-05,"17957010","17957010","CLAI","CLAIMSNET COM INC",3,3,7370,11,NA,1999-04-30,2002-03-28,2
"26211",67459,6295,1985-05-31,2007-05-29,"17958410","17958410","CLE","CLAIRES STORES INC",1,1,5631,11,NA,1976-09-30,2007-05-31,2
"10929",23975,952,1992-03-18,2017-02-27,"17989510","17989510","CLC","CLARCOR INC",1,1,3411,11,NA,1972-12-29,2017-02-28,2
"35764",81692,13795,2001-03-14,2002-06-10,"18002R10","18002R10","CPCL","CLARE INC",3,3,3625,11,NA,1995-06-30,2002-06-28,2
"37712",83743,14827,1996-07-19,1998-07-24,"18024310","18024310","CLMT","CLAREMONT TECHNOLOGY GROUP INC",3,3,7370,11,NA,1996-07-31,1998-07-31,2
"41418",87102,16630,1999-07-01,2001-08-31,"18046110","18046110","CLRN","CLARENT CORP",3,3,7370,11,NA,1999-07-30,2001-08-31,2
"39192",85175,15573,2005-03-16,2010-12-22,"18048910","18048910","CLRT","CLARIENT INC",3,3,3820,11,NA,1997-08-29,2010-12-31,2
"36451",82562,14095,1995-11-03,2000-03-16,"18049210","18049210","CLFY","CLARIFY INC",3,3,7370,11,NA,1995-11-30,2000-03-31,2
"42190",87757,17255,2000-03-03,2002-03-12,"18060610","18060610","CLAR","CLARION TECHNOLOGIES INC",3,3,2870,11,NA,2000-03-31,2002-03-28,2
"43019",88724,40197,2000-10-12,2001-09-10,"18063820","18063820","CLRI","CLARITI TELECOM INTL LTD",3,3,4813,11,NA,2000-10-31,2001-09-28,2
"8596",18446,20460,1968-01-02,1995-05-25,"18139610","18139610","CKL","CLARK EQUIPMENT CO",1,1,3537,11,NA,1929-10-31,1995-05-31,2
"40590",86316,16269,2003-06-09,2007-03-12,"18145710","18145710","CLK","CLARK INC",1,1,6411,11,NA,1998-08-31,2007-03-30,2
"45155",91199,50310,2008-02-14,2011-11-04,"18145M10","18145M10","GLA","CLARK HOLDINGS INC",2,2,4700,11,NA,2006-04-28,2011-11-30,2
"1930",11005,8877,1987-01-07,2002-07-25,"18151210","18151210","DCPI","CLARK DICK PRODTNS INC",3,3,7920,11,NA,1987-01-30,2002-07-31,2
"40317",86092,16127,2017-08-14,2018-06-29,"18270P10","18270P10","CLAR","CLARUS CORP",3,3,7372,11,NA,1998-05-29,2018-06-29,2
"41894",87480,17485,1999-12-08,2001-11-13,"18272820","18272820","CLSC","CLASSIC COMMUNICATIONS INC",3,3,4840,11,NA,1999-12-31,2001-11-30,2
"36612",82680,14273,1995-12-29,2005-05-20,"18272M10","18272M10","CLAS","CLASSIC BANCSHARES INC",3,3,6030,11,NA,1995-12-29,2005-05-31,2
"33346",79680,12493,1993-10-20,1996-06-26,"18273710","18273710","CIEI","CLASSICS INTL ENTMNT INC",3,3,5940,11,NA,1993-10-29,1996-06-28,2
"30491",76995,11105,1999-10-06,2003-10-22,"18273M20","18273M20","TCGI","CLASSICA GROUP INC",3,3,2020,11,NA,1991-09-30,2003-10-31,2
"40464",86225,34833,2001-05-23,2002-03-21,"18273V10","18273V10","CLV","CLASSIC VACATION GROUP INC",2,2,4725,11,NA,1998-07-31,2002-03-28,2
"45501",91676,51563,2006-12-19,2008-01-25,"18382P10","18382P10","PLTE","CLAYMONT STEEL HOLDINGS INC",3,3,3312,11,NA,2006-12-29,2008-01-31,2
"45118",91157,50485,2006-03-24,2008-07-02,"18418N10","18418N10","CLAY","CLAYTON HOLDINGS INC",3,3,7389,11,NA,2006-03-31,2008-07-31,2
"26050",66878,6096,1984-12-19,2003-08-06,"18419010","18419010","CMH","CLAYTON HOMES INC",1,1,3448,11,NA,1983-06-30,2003-08-29,2
"3497",11809,9616,2008-12-15,2018-06-29,"18449610","18449610","CLH","CLEAN HARBORS INC",1,1,4953,11,NA,1987-11-30,2018-06-29,2
"45731",92035,52287,2007-05-25,2018-06-29,"18449910","18449910","CLNE","CLEAN ENERGY FUELS CORP",3,3,4932,11,NA,2007-05-31,2018-06-29,2
"10964",24046,6996,1994-11-04,2008-07-30,"18450210","18450210","CCU","CLEAR CHANNEL COMMUNICATIONS IN",1,1,4832,11,NA,1984-04-30,2008-07-31,2
"44978",90989,48787,2005-11-11,2018-06-29,"18451C10","18451C10","CCO","CLEAR CHANNEL OUTDOOR HLDGS INC",1,1,7312,11,"A",2005-11-30,2018-06-29,2
"1083",10547,8458,2008-01-02,2018-06-29,"18482P10","18482P10","CLFD","CLEARFIELD INC",3,3,3827,11,NA,1986-08-29,2018-06-29,2
"45587",91817,51806,2007-02-13,2008-09-10,"18506110","18506110","CPBR","CLEARPOINT BUSINESS RESOURCES I",3,3,6700,11,NA,2007-02-28,2008-09-30,2
"7252",16090,55586,2016-06-02,2018-06-29,"18506310","18506310","CLSD","CLEARSIDE BIOMEDICAL INC",3,3,9999,11,NA,2016-06-30,2018-06-29,2
"5085",13369,54057,2012-04-25,2018-06-29,"18506410","18506410","CLIR","CLEARSIGN COMBUSTION CORP",3,3,9999,11,NA,2012-04-30,2018-06-29,2
"28494",75714,10127,2012-12-13,2018-06-29,"18506U10","18506U10","CLRO","CLEARONE INC",3,3,3663,11,NA,1989-03-31,2018-06-29,2
"39315",85258,32055,1997-08-19,1998-12-02,"18507010","18507010","CLV","CLEARVIEW CINEMA GROUP INC",2,2,7832,11,NA,1997-08-29,1998-12-31,2
"45630",91892,51985,2008-12-01,2013-07-09,"18538Q10","18538Q10","CLWR","CLEARWIRE CORP NEW",3,3,4899,11,"A",2007-03-30,2013-07-31,2
"46343",92854,53108,2008-12-17,2018-06-29,"18538R10","18538R10","CLW","CLEARWATER PAPER CORP",1,1,2611,11,NA,2008-12-31,2018-06-29,2
"42465",88209,37490,2000-05-25,2001-02-02,"18539510","18539510","CLW","CLEARWORKS NET INC",2,2,4813,11,NA,2000-05-31,2001-02-28,2
"7774",16879,56044,2017-08-02,2018-06-29,"18557510","18557510","CMTA","CLEMENTIA PHARMACEUTICALS INC",3,3,6726,11,NA,2017-08-31,2018-06-29,2
"45294",91395,50969,2015-01-28,2018-06-29,"18586020","18586020","CBLI","CLEVELAND BIOLABS INC",3,3,8731,11,NA,2006-07-31,2018-06-29,2
"12458",27422,20462,2017-08-25,2018-06-29,"18589910","18589910","CLF","CLEVELAND CLIFFS INC NEW",1,1,1081,11,NA,1960-07-29,2018-06-29,2
"40376",86153,16137,1998-06-04,2000-02-15,"18620210","18620210","CLEV","CLEVELAND INDIANS BASEBALL CO",3,3,7940,11,NA,1998-06-30,2000-02-29,2
"42620",88329,37704,2002-09-04,2006-10-26,"18681D20","18681D20","CKCM","CLICK COMMERCE INC",3,3,7371,11,NA,2000-06-30,2006-10-31,2
"35813",81725,13778,1999-09-16,2002-12-02,"18681E10","18681E10","CLAC","CLICKACTION INC",3,3,7370,11,NA,1995-06-30,2002-12-31,2
"40448",86207,16153,2001-06-13,2004-03-18,"18681S10","18681S10","CLKS","CLICK2LEARN INC",3,3,7371,11,NA,1998-06-30,2004-03-31,2
"3838",11994,9823,1997-04-03,1998-11-30,"18682C10","18682C10","CDG","CLIFFS DRILLING CO",1,1,1381,11,NA,1988-07-29,1998-11-30,2
"38381",84237,15138,2001-08-23,2003-03-04,"18682E20","18682E20","CLIK","CLICKNSETTLE COM INC",3,3,8111,11,NA,1996-11-29,2003-03-31,2
"44092",90080,44993,2014-04-02,2018-03-29,"18687310","18687310","CSBK","CLIFTON BANCORP INC",3,3,6036,11,NA,2004-03-31,2018-03-29,2
"10987",24097,5949,2003-10-07,2011-04-13,"18725U10","18725U10","CLDA","CLINICAL DATA INC NEW",3,3,8090,11,NA,1983-04-29,2011-04-29,2
"29385",76326,10638,1990-07-09,1993-03-04,"18726310","18726310","CLHC","CLINICAL HOMECARE LTD",3,3,8080,10,NA,1990-06-29,1993-03-31,2
"30871",77260,11280,1995-01-03,1995-09-12,"18726820","18726820","BAK","CLINICORP INC",2,2,8041,11,NA,1992-01-31,1995-09-29,2
"31273",77524,11477,1992-04-20,1995-09-29,"18726L10","18726L10","CLIN","CLINICOM INC",3,3,7370,11,NA,1992-04-30,1995-09-29,2
"20188",49032,6444,1988-01-04,1996-08-30,"18757110","18757110","CGAS","CLINTON GAS SYSTEMS INC",3,3,1311,11,NA,1983-09-30,1996-08-30,2
"33544",79807,12611,1994-02-14,2001-04-05,"18876710","18876710","CCRO","CLINTRIALS RESEARCH INC",3,3,8730,11,NA,1993-11-30,2001-04-30,2
"19444",46578,20463,1968-08-01,2018-06-29,"18905410","18905410","CLX","CLOROX CO",1,1,2842,11,NA,1968-08-30,2018-06-29,2
"38027",83967,14967,1997-01-13,2005-06-03,"18909310","18909310","CLSR","CLOSURE MEDICAL CORP",3,3,3840,11,NA,1996-09-30,2005-06-30,2
"11002",24126,6673,1983-12-08,1996-07-25,"18909510","18909510","CTME","CLOTHESTIME INC",3,3,5621,11,NA,1983-12-30,1996-07-31,2
"46486",93095,53263,2009-11-20,2018-06-29,"18911Q10","18911Q10","CLD","CLOUD PEAK ENERGY INC",1,1,1221,11,NA,2009-11-30,2018-06-29,2
"7615",16657,55906,2017-04-28,2018-06-29,"18914U10","18914U10","CLDR","CLOUDERA INC",1,1,7371,11,NA,2017-04-28,2018-06-29,2
"4906",13107,53931,2011-11-16,2018-06-29,"18946410","18946410","CLVS","CLOVIS ONCOLOGY INC",3,3,9999,11,NA,2011-11-30,2018-06-29,2
"33347",79681,28847,1993-10-19,1995-03-28,"18947B10","18947B10","CLBC","CLUB CAR INC",3,3,3790,11,NA,1993-10-29,1995-03-31,2
"5701",14131,54536,2013-09-20,2017-09-18,"18948M10","18948M10","MYCC","CLUBCORP HOLDINGS INC",1,1,6531,11,NA,2013-09-30,2017-09-29,2
"37484",83570,14619,1997-05-08,1999-07-23,"18975L10","18975L10","CUI","COACH USA INC",1,1,3792,11,NA,1996-05-31,1999-07-30,2
"33606",79842,12580,1995-05-24,1996-08-09,"18975R10","18975R10","LEGL","CO COUNSEL INC",3,3,7360,11,NA,1993-11-30,1996-08-30,2
"7737",16820,56004,2017-07-12,2018-06-29,"18976310","18976310","CODX","C O DIAGNOSTICS INC",3,3,9999,11,NA,2017-07-31,2018-06-29,2
"22464",56741,20465,1978-01-25,2009-04-08,"18987310","18987310","COA","COACHMEN INDUSTRIES INC",1,1,3792,11,NA,1972-12-29,2009-04-30,2
"38669",84522,15345,1997-02-19,2000-05-18,"19029710","19029710","CTBP","COAST BANCORP",3,3,6710,11,NA,1997-02-28,2000-05-31,2
"11032",24193,6719,1998-05-04,2015-08-19,"19034510","19034510","CRV","COAST DISTRIBUTION SYSTEM INC",2,2,5013,11,NA,1983-12-30,2015-08-31,2
"38658",84517,15325,2001-07-17,2004-04-06,"19034H20","19034H20","CDEN","COAST DENTAL SERVICES INC",3,3,8740,11,NA,1997-02-28,2004-04-30,2
"43935",89906,44618,2003-11-06,2007-11-30,"19035410","19035410","CFHI","COAST FINANCIAL HLDGS INC",3,3,6022,11,NA,2003-11-28,2007-11-30,2
"40891",86714,7927,1989-06-16,1998-02-13,"19039M10","19039M10","CSA","COAST SAVINGS FINANCIAL INC",1,1,6035,11,NA,1985-12-31,1998-02-27,2
"31126",77435,11426,1994-08-01,2004-05-12,"19041P10","19041P10","CBSA","COASTAL BANCORP INC",3,3,6030,11,NA,1992-03-31,2004-05-28,2
"16695",38893,20466,1980-01-02,2001-01-29,"19044110","19044110","CGP","COASTAL CORP",1,1,4923,11,NA,1963-02-28,2001-01-31,2
