"","crsp_fundno","wficn","fundno","cusip8","ticker","fund_name","tna_latest_dt","tna_latest","num_holdings","mgmt_name","et_flag","nav_latest_dt","nav_latest","first_offer_dt","per_com","per_pref","per_conv","per_corp","per_muni","per_govt","per_oth","per_cash","per_bond","per_abs","per_mbs","per_eq_oth","per_fi_oth","open_to_inv","retail_fund","inst_fund","index_fund_flag","dead_flag","delist_cd","crsp_obj_cd","lipper_obj_cd","lipper_obj_name","lipper_class","lipper_class_name","si_obj_cd","wbrger_obj_cd","lipper_asset_cd","country"
"601",36592,600814,89209,"46428658","SCJ","iShares, Inc: iShares MSCI Japan Small-Cap ETF",2018-03-29,371.1,8,"BlackRock Fund Advisors","F",2018-03-29,80.68,2007-12-20,99.69,0,0,0,0,0,0.07,0.24,0,0,0,0,0,"Y","N","Y","D","N",NA,"EFRJ","JA","JAPANESE FUNDS","JA","Japanese Funds",NA,NA,"EQ","UNITED STATES"
"514",16395,600239,12501,"46428675","EWD","iShares, Inc: iShares MSCI Sweden ETF",2018-03-29,370,1,"BlackRock Fund Advisors","F",2018-03-29,33.34,1996-03-12,97.82,0,0,0,0,0,0.18,0.69,0,0,0,1.31,0,"Y","N","Y","D","N",NA,"EFRE","EU","EUROPEAN REGION FUNDS","EU","European Region Funds",NA,NA,"EQ","UNITED STATES"
"2260",86121,NA,NA,"26924G50","MJ","ETF Managers Trust: ETFMG Alternative Harvest ETF",2018-03-29,367.6,NA,"Factor Advisors LLC","F",2018-03-29,29.65,2015-12-02,91.07,0,0,0.07,0,0.21,3.92,0.4,0,0,0,4.32,0,"Y","N","Y","D","N",NA,"M","S","SPECIALTY/MISCELLANEOUS FUNDS","S","Specialty/Miscellaneous Funds",NA,NA,"EQ",NA
"220",16509,501029,80755,"46428885","IEO","iShares Trust: iShares US Oil & Gas Exploration & Production ETF",2018-03-29,365.4,73,"BlackRock Fund Advisors","F",2018-03-29,63.55,2006-05-01,99.92,0,0,0,0,0,0.05,0.03,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDSN","NR","NATURAL RESOURCES FUNDS","NR","Natural Resources Funds",NA,NA,"EQ","UNITED STATES"
"3240",89411,NA,NA,"47103U88","VNLA","Janus Detroit Street Trust: Janus Henderson Short Duration Income ETF",2018-03-29,365.2,NA,"Janus Capital Management LLC","F",2018-03-29,50.02,2016-11-16,0,0,0,89.86,0,3.22,-0.78,3.04,0,0.31,0.17,0,4.17,"Y","N","Y","E","N",NA,"I","SID","SHORT INVESTMENT GRADE DEBT FUNDS","SID","Short Investment Grade Debt Funds",NA,NA,"TX",NA
"1105",51703,NA,NA,"22539T61","TVIX","VelocityShares Daily 2x VIX Short-Term ETN",2015-03-31,364,NA,"VelocityShares","N",2015-03-31,1.6681,2010-11-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","N","Y","B","N",NA,"M","S","SPECIALTY/MISCELLANEOUS FUNDS","S","Specialty/Miscellaneous Funds",NA,NA,"EQ",NA
"2712",92243,NA,NA,"80852472","SCHK","Schwab Strategic Trust: Schwab 1000 Index ETF",2018-03-29,363.5,NA,"Charles Schwab Investment Management Inc","F",2018-03-29,25.9678,2017-10-11,99.82,0,0,0,0,0.07,0.06,0.05,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDYG","G","GROWTH FUNDS","LCCE","Large-Cap Core Funds",NA,NA,"EQ",NA
"1978",49231,NA,NA,"74347R21","BIB","ProShares Trust: ProShares Ultra Nasdaq Biotechnology",2018-03-29,362.2,NA,"ProFunds Group","F",2018-03-29,54.88,2010-04-07,79.42,0,0,0,0,0,8.54,9.23,0,0,0,2.8,0,"Y","N","Y","E","N",NA,"EDYH","DL","EQUITY LEVERAGE FUNDS","DL","Equity Leverage Funds",NA,NA,"EQ",NA
"1504",43003,NA,NA,"25490K28","EDC","Direxion Shares ETF Trust: Direxion Daily MSCI Emerging Markets Bull 3X Shares",2018-03-29,360.9,NA,"Rafferty Asset Management LLC","F",2018-03-29,127.47,2008-12-17,59.32,2.44,0,0,0,25.89,2.43,3.02,0,0,0,6.9,0,"Y","N","Y","E","N",NA,"EDYH","DL","EQUITY LEVERAGE FUNDS","DL","Equity Leverage Funds",NA,NA,"EQ",NA
"311",29232,501204,81142,"78464A72","XPH","SPDR Series Trust: SPDR S&P Pharmaceuticals ETF",2018-03-29,360.2,31,"State Street Bank and Trust Company","F",2018-03-29,41.8848,2006-06-19,99.39,0,0,0,0,0.03,0,0.59,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDSH","H","HEALTH/BIOTECHNOLOGY FUNDS","H","Health/Biotechnology Funds",NA,NA,"EQ","UNITED STATES"
"169",16496,500845,79970,"46428872","EXI","iShares Trust: iShares Global Industrials ETF",2018-03-29,359.8,72,"BlackRock Fund Advisors","F",2018-03-29,91.1,2006-09-12,98.28,0,0,0,0,0,0.86,0.1,0,0,0,0.76,0,"Y","N","Y","D","N",NA,"EDSI","ID","INDUSTRIALS FUNDS","ID","Industrials Funds",NA,NA,"EQ","UNITED STATES"
"969",25703,NA,NA,"74347X23","QID","ProShares Trust: ProShares UltraShort QQQ",2013-12-31,358.5,NA,"ProFunds Group","F",2013-12-31,14.99,2006-07-11,0,0,0,0,0,79.23,-35.26,56.03,0,0,0,0,0,"Y","N","Y","B","N",NA,"EDYS","DSB","DEDICATED SHORT BIAS FUNDS","DSB","Dedicated Short Bias Funds",NA,NA,"EQ",NA
"1949",62547,NA,NA,"46431W85","COMT","iShares US ETF Trust: iShares Commodities Select Strategy ETF",2018-03-29,357.7,NA,"BlackRock Fund Advisors","F",2018-03-29,36.88,2014-10-15,24.88,0,0,50.38,0,9.64,8.37,1.79,0,0,0,4.94,0,"Y","N","Y",NA,"N",NA,"EDSC","CMD","COMMODITIES FUNDS","CMG","Commodities General Funds",NA,NA,"EQ",NA
"384",43594,501342,82563,"33734X16","FXZ","First Trust Exchange-Traded AlphaDEX Fund: First Trust Materials AlphaDEX Fund",2018-03-29,356.5,57,"First Trust Advisors LP","F",2018-03-29,42.1822,2007-05-08,99.95,0,0,0,0,0.03,0,0.02,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDSM","BM","BASIC MATERIALS FUNDS","BM","Basic Materials Funds",NA,NA,"EQ","UNITED STATES"
"2049",63611,NA,NA,"46434VAX","IBDO","iShares Trust: iShares iBonds Dec 2023 Term Corporate ETF",2018-03-29,355.7,NA,"BlackRock Fund Advisors","F",2018-03-29,24.45,2015-03-10,0,0,0,99.23,0,0,0.89,-0.28,0,0,0,0,0.16,"Y","N","Y","D","N",NA,"ICQY","BBB","CORPORATE DEBT FUNDS BBB-RATED","BBB","Corporate Debt Funds BBB-Rated",NA,NA,"TX",NA
"1046",51181,NA,NA,"73936Q81","KBWY","PowerShares Exchange-Traded Fund Trust II: PowerShares KBW Premium Yield Equity REIT Portfolio",2018-03-29,354.5,NA,"Invesco Powershares Capital Mgmt LLC","F",2018-03-29,31.235,2010-12-01,100,0,0,0,0,0,0,0,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDSR","RE","REAL ESTATE FUNDS","RE","Real Estate Funds",NA,NA,"EQ",NA
"3224",88646,NA,NA,"74255Y60","PSC","Principal Exchange-Traded Funds: Principal US Small-Cap Multi-Factor Index ETF",2018-03-29,354.5,NA,"Principal Global Investors LLC","F",2018-03-29,31.0986,2016-09-21,99.71,0,0,0,0,0,0,0.29,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDCS","SG","SMALL-CAP FUNDS","SCCE","Small-Cap Core Funds",NA,NA,"EQ",NA
"1057",51251,NA,NA,"46434G80","ERUS","iShares, Inc: iShares MSCI Russia Capped ETF",2016-09-30,353.5,NA,"BlackRock Fund Advisors","F",2016-09-30,14.43,2010-11-09,55.74,5.36,0,0,0,0,0.23,2.4,0,0,0,36.26,0,"Y","N","Y","D","N",NA,"EFRM","EM","EMERGING MARKETS FUNDS","EM","Emerging Markets Funds",NA,NA,"EQ",NA
"1821",60554,NA,NA,"50076740","KBA","KraneShares Trust: KraneShares Bosera MSCI China A Share ETF",2018-03-29,353.3,NA,"Krane Funds Advisors LLC","F",2018-03-29,34.47,2014-03-04,99.58,0,0,0,0,0,0,0.42,0,0,0,0,0,"Y","N","Y","B","N",NA,"EFRQ","CH","CHINA REGION FUNDS","CH","China Region Funds",NA,NA,"EQ",NA
"1846",60942,NA,NA,"46434VAA","IBDH","iShares Trust: iShares iBonds Dec 2018 Term Corporate ETF",2018-03-29,352.7,NA,"BlackRock Fund Advisors","F",2018-03-29,25.11,2014-05-28,0,0,0,90.88,0,0,12.76,-3.64,0,0,0,0,0,"Y","N","Y","D","N",NA,"I","SID","SHORT INVESTMENT GRADE DEBT FUNDS","SID","Short Investment Grade Debt Funds",NA,NA,"TX",NA
"745",47852,NA,NA,"37950E40","CHIQ","Global X Funds: Global X China Consumer ETF",2018-03-29,351.6,NA,"Global X Management Company LLC","F",2018-03-29,18.51,2009-11-30,67.23,0,0,0,0,0,0,0.11,0,0,0,32.66,0,"Y","N","Y","D","N",NA,"EDSG","CG","CONSUMER GOODS FUNDS","CG","Consumer Goods Funds",NA,NA,"EQ",NA
"163",24758,500821,78698,"73935X78","PSI","PowerShares Exchange-Traded Fund Trust: PowerShares Dynamic Semiconductors Portfolio",2018-03-29,351.4,29,"Invesco Powershares Capital Mgmt LLC","F",2018-03-29,52.8382,2005-06-23,100.05,0,0,0,0,0,0,-0.05,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDST","TK","SCIENCE & TECHNOLOGY FUNDS","TK","Science & Technology Funds",NA,NA,"EQ","UNITED STATES"
"999",50526,NA,NA,"92206C59","VTHR","Vanguard Scottsdale Funds: Vanguard Russell 3000 Index Fund; ETF Shares",2018-03-29,351.4,NA,"Vanguard Group Inc","F",2018-03-29,121.18,2010-09-20,99.67,0,0,0.19,0,0.1,0.01,0.02,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDYG","G","GROWTH FUNDS","MLCE","Multi-Cap Core Funds",NA,NA,"EQ",NA
"870",24776,NA,NA,"73936B70","DBB","PowerShares DB Multi-Sector Commodity Trust: PowerShares DB Base Metals Fund",2018-03-29,348.9,NA,"Invesco Powershares Capital Mgmt LLC","F",2018-03-29,18.17,2007-01-03,0,0,0,0.12,0,78.71,17.77,2.9,0,0,0.01,0,0.49,"Y","N","Y","D","N",NA,"EDSC","CMD","COMMODITIES FUNDS","CMM","Commodities Base Metals Funds",NA,NA,"EQ",NA
"3063",62689,NA,NA,"18383M24","BSCN","Claymore Exchange-Traded Fund Trust: Guggenheim BulletShares 2023 Corporate Bond ETF",2018-03-29,347.6,NA,"Guggenheim Investments","F",2018-03-29,20.3256,2014-09-17,0,0,0,98.93,0,0,1.07,0,0,0,0,0,0,"Y","N","Y","D","N",NA,"ICQY","BBB","CORPORATE DEBT FUNDS BBB-RATED","BBB","Corporate Debt Funds BBB-Rated",NA,NA,"TX",NA
"217",16503,501025,80751,"46428879","IAI","iShares Trust: iShares US Broker-Dealers & Securities Exchanges ETF",2018-03-29,347.2,21,"BlackRock Fund Advisors","F",2018-03-29,65.5,2006-05-01,99.93,0,0,0,0,0,0.06,0.01,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDSF","FS","FINANCIAL SERVICES FUNDS","FS","Financial Services Funds",NA,NA,"EQ","UNITED STATES"
"2568",54630,NA,NA,"33737J30","FEMS","First Trust Exchange-Traded AlphaDEX Fund II: First Trust Emerging Markets Small Cap AlphaDEX Fund",2018-03-29,346.3,NA,"First Trust Advisors LP","F",2018-03-29,44.3967,2012-02-15,93.94,2.7,0,0,0,0,0.82,2.53,0,0,0,0.01,0,"Y","N","Y","D","N",NA,"EFRM","EM","EMERGING MARKETS FUNDS","EM","Emerging Markets Funds",NA,NA,"EQ",NA
"957",25698,NA,NA,"74347R82","RWM","ProShares Trust: ProShares Short Russell2000",2015-03-31,345.9,NA,"ProFunds Group","F",2015-03-31,14.67,2007-01-23,0,0,0,0,0,75.63,-3.65,28,0,0,0,0,0,"Y","N","Y","B","N",NA,"EDYS","DSB","DEDICATED SHORT BIAS FUNDS","DSB","Dedicated Short Bias Funds",NA,NA,"EQ",NA
"2011",49788,NA,NA,"18383M57","BSCE","Claymore Exchange-Traded Fund Trust: Guggenheim BulletShares 2014 Corporate Bond ETF",2014-09-30,345.9,NA,"Guggenheim Investments","F",2014-09-30,21.1534,2010-06-07,0,0,0,84.64,0,14.11,0,1.25,0,0,0,0,0,"Y","N","Y","D","Y","L","I","SID","SHORT INVESTMENT GRADE DEBT FUNDS","SID","Short Investment Grade Debt Funds",NA,NA,"TX",NA
"2436",53369,NA,NA,"74347W41","UVXY","ProShares Trust II: ProShares Ultra VIX Short-Term Futures ETF",2013-03-28,344.4,NA,"ProFunds Group","F",2013-03-28,7.5761,2011-10-03,0,0,0,0,0,34.49,64.79,0.72,0,0,0,0,0,"Y","N","Y","B","N",NA,"M","S","SPECIALTY/MISCELLANEOUS FUNDS","S","Specialty/Miscellaneous Funds",NA,NA,"EQ",NA
"2000",49436,NA,NA,"46429B60","EPOL","iShares Trust: iShares MSCI Poland ETF",2018-03-29,343.4,NA,"BlackRock Fund Advisors","F",2018-03-29,24.88,2010-05-25,99.96,0,0,0,0,0,0.04,0,0,0,0,0,0,"Y","N","Y","D","N",NA,"EFRE","EU","EUROPEAN REGION FUNDS","EU","European Region Funds",NA,NA,"EQ",NA
"2290",52472,NA,NA,"92189F48","FLTR","VanEck Vectors ETF Trust: VanEck Vectors-Investment Grade Floating Rate ETF",2018-03-29,343.3,NA,"Van Eck Associates Corporation","F",2018-03-29,25.2396,2011-04-25,0,0,0,97.9,0,0.99,0,0.13,0,0,0,0,0.98,"Y","N","Y","D","N",NA,"I","SID","SHORT INVESTMENT GRADE DEBT FUNDS","SID","Short Investment Grade Debt Funds",NA,NA,"TX",NA
"628",8277,NA,NA,"23130C10","FXE","Guggenheim Investments CurrencyShares Euro Trust",2018-03-29,342.9,NA,"Guggenheim Investments","F",2018-03-29,118.2519,2005-12-09,0,0,0,0,0,0,0,100,0,0,0,0,0,"Y","N","Y",NA,"N",NA,"OC","CRX","ALTERNATIVE CURRENCY STRATEGIES FUNDS","CRX","Alternative Currency Strategies Funds",NA,NA,"TX",NA
"2379",52918,NA,NA,"46428647","EEMS","iShares, Inc: iShares MSCI Emerging Markets Small-Cap ETF",2018-03-29,341.9,NA,"BlackRock Fund Advisors","F",2018-03-29,53,2011-08-16,91.45,1.51,0,0,0,0,1.16,0,0,0,0,5.88,0,"Y","N","Y","D","N",NA,"EFRM","EM","EMERGING MARKETS FUNDS","EM","Emerging Markets Funds",NA,NA,"EQ",NA
"1850",61059,NA,NA,"33739N10","FMB","First Trust Exchange-Traded Fund III: First Trust Managed Municipal ETF",2018-03-29,341.4,NA,"First Trust Advisors LP","F",2018-03-29,52.5286,2014-05-13,0,0,0,0,87.92,0,9.57,0,0,0,0,0,2.5,"Y","N","Y",NA,"N",NA,"IU","GM","GENERAL & INSURED MUNICIPAL DEBT FUNDS","GM","General & Insured Municipal Debt Funds",NA,NA,"MB",NA
"2070",63797,NA,NA,"00400650","FFTY","Innovator ETFs Trust: Innovator IBD 50 ETF",2018-03-29,341.2,NA,"Innovator Management LLC","F",2018-03-29,33.29,2015-04-08,83.5,0,0,0,0,0.01,2.89,0.02,0,0,0,13.62,0.02,"Y","N","Y",NA,"N",NA,"EDSF","FS","FINANCIAL SERVICES FUNDS","FS","Financial Services Funds",NA,NA,"EQ",NA
"2003",49468,NA,NA,"78464A15","IBND","SPDR Series Trust: SPDR Bloomberg Barclays International Corporate Bond ETF",2018-03-29,340.4,NA,"State Street Bank and Trust Company","F",2018-03-29,35.8362,2010-05-19,0,0,0,97.63,0,0.04,0,1.45,0,0,0,0,0.89,"Y","N","Y","D","N",NA,"IF","INI","INTERNATIONAL INCOME FUNDS","INI","International Income Funds",NA,NA,"TX",NA
"1677",58697,NA,NA,"00162Q71","IDOG","ALPS ETF Trust: Alps International Sector Dividend Dogs ETF",2018-03-29,336.4,NA,"ALPS Advisors Inc","F",2018-03-29,27.4587,2013-06-28,97.74,0,0,0,0,0.06,0.01,0.28,0,0,0,1.92,0,"Y","N","Y","D","N",NA,"EF","IF","INTERNATIONAL FUNDS","IEI","International Equity Income Funds",NA,NA,"EQ",NA
"537",32504,600544,79562,"97717W80","DTH","WisdomTree Trust: WisdomTree International High Dividend Fund",2018-03-29,335,13,"WisdomTree Asset Management Inc","F",2018-03-29,43.2295,2006-06-16,97.86,0.11,0,0,0,0,0.16,0.22,0,0,0,1.64,0,"Y","N","Y","D","N",NA,"EF","IF","INTERNATIONAL FUNDS","IEI","International Equity Income Funds",NA,NA,"EQ","UNITED STATES"
"2593",55090,NA,NA,"46432F87","IYLD","iShares Trust: iShares Morningstar Multi-Asset Income ETF",2018-03-29,333.2,NA,"BlackRock Fund Advisors",NA,2018-03-29,24.96,2012-04-03,34.86,1.99,0,28.35,0.38,18.83,0.88,-3.22,0,0,9.49,2.6,5.84,"Y","N","Y","B","N",NA,"M","AGM","ALTERNATIVE GLOBAL MACRO FUNDS","AGM","Alternative Global Macro Funds",NA,NA,"EQ",NA
"1756",59400,NA,NA,"31609288","FMAT","Fidelity Covington Trust: Fidelity MSCI Materials Index ETF",2018-03-29,333.1,NA,"Fidelity SelectCo LLC","F",2018-03-29,32.9788,2013-10-21,99.87,0,0,0,0,0,0.13,0,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDSM","BM","BASIC MATERIALS FUNDS","BM","Basic Materials Funds",NA,NA,"EQ",NA
"868",24774,NA,NA,"73936B50","DBO","PowerShares DB Multi-Sector Commodity Trust: PowerShares DB Oil Fund",2018-03-29,332.8,NA,"Invesco Powershares Capital Mgmt LLC","F",2018-03-29,11.17,2007-01-03,0,0,0,0.07,0,96.59,1.09,1.9,0,0,0.01,0,0.32,"Y","N","Y","D","N",NA,"EDSC","CMD","COMMODITIES FUNDS","CME","Commodities Energy Funds",NA,NA,"EQ",NA
"3134",87746,NA,NA,"45409B47","AGGP","IndexIQ ETF Trust: IQ Enhanced Core Plus Bond US ETF",2018-03-29,332.8,NA,"IndexIQ Advisors LLC","F",2018-03-29,19.2917,2016-05-10,0,0,0,66.57,0.04,23.32,0.4,-0.32,0,0,8.79,0,1.18,"Y","N","Y","E","N",NA,"I","IID","CORE BOND FUNDS","CPB","Core Plus Bond Funds",NA,NA,"TX",NA
"1106",51703,NA,NA,"22539T42","TVIX","VelocityShares Daily 2x VIX Short-Term ETN",2016-06-30,332.3,NA,"VelocityShares","N",2016-06-30,1.9969,2010-11-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","N","Y","B","N",NA,"M","S","SPECIALTY/MISCELLANEOUS FUNDS","S","Specialty/Miscellaneous Funds",NA,NA,"EQ",NA
"427",36480,501400,82860,"46428665","BKF","iShares, Inc: iShares MSCI BRIC ETF",2018-03-29,331.7,24,"BlackRock Fund Advisors","F",2018-03-29,45.76,2007-11-12,76.89,5.51,0,0,0,0,0.63,0,0,0,0,16.96,0,"Y","N","Y","D","N",NA,"EFRM","EM","EMERGING MARKETS FUNDS","EM","Emerging Markets Funds",NA,NA,"EQ","UNITED STATES"
"3113",63440,NA,NA,"31609285","FREL","Fidelity Covington Trust: Fidelity MSCI Real Estate Index ETF",2018-03-29,330.1,NA,"Fidelity SelectCo LLC","F",2018-03-29,22.9229,2015-02-05,99.95,0,0,0,0,0.06,0,0,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDSR","RE","REAL ESTATE FUNDS","RE","Real Estate Funds",NA,NA,"EQ",NA
"1308",37164,NA,NA,"76139630","RWJ","RevenueShares ETF Trust: RevenueShares Small Cap Fund",2015-09-30,330,NA,"VTL Associates LLC","F",2015-09-30,50.7523,2008-02-22,98.25,0,0,0,0,0,1.73,0,0,0,0,0,0,"Y","N","Y","E","N",NA,"EDCS","SG","SMALL-CAP FUNDS","SCCE","Small-Cap Core Funds",NA,NA,"EQ",NA
"699",47162,NA,NA,"57060U76","VNM","Market Vectors ETF Trust: Market Vectors Vietnam ETF",2016-03-31,328.5,NA,"Van Eck Associates Corporation","F",2016-03-31,13.9499,2009-08-11,89.36,0,0,0,0,0,0.01,0.06,0,0,0,2.08,8.49,"Y","N","Y","D","N",NA,"EFRM","EM","EMERGING MARKETS FUNDS","EM","Emerging Markets Funds",NA,NA,"EQ",NA
"2039",63524,NA,NA,"51841610","RODM","Lattice Strategies Trust: Hartford Multifactor Developed Markets (ex-US) ETF",2018-03-29,325.8,NA,"Lattice Strategies LLC","F",2018-03-29,28.96,2015-02-25,98.88,0,0,0,0,0,2.02,-1.86,0,0,0,0.97,0,"Y","N","Y","B","N",NA,"EF","IF","INTERNATIONAL FUNDS","IMLC","International Multi-Cap Core",NA,NA,"EQ",NA
"510",16402,600236,12498,"46428683","EWM","iShares, Inc: iShares MSCI Malaysia ETF",2016-09-30,325.5,1,"BlackRock Fund Advisors","F",2016-09-30,8.04,1996-03-12,99.82,0,0,0,0,0,0.03,0.15,0,0,0,0,0,"Y","N","Y","D","N",NA,"EFRM","EM","EMERGING MARKETS FUNDS","EM","Emerging Markets Funds",NA,NA,"EQ","UNITED STATES"
"1500",43000,NA,NA,"25459Y44","FAZ","Direxion Shares ETF Trust: Direxion Daily Financial Bear 3X Shares",2015-09-30,325.5,NA,"Rafferty Asset Management LLC","F",2015-09-30,12.84,2008-11-06,0,0,0,0,0,0,-17.66,117.66,0,0,0,0,0,"Y","N","Y","B","N",NA,"EDYS","DSB","DEDICATED SHORT BIAS FUNDS","DSB","Dedicated Short Bias Funds",NA,NA,"EQ",NA
"696",47149,NA,NA,"26922X10","SIVR","ETFS Silver Trust: ETFS Physical Silver Shares",2018-03-29,325.1,NA,"ETF Securities USA LLC","F",2018-03-29,15.8608,2009-07-20,0,0,0,0,0,0,99.09,0.91,0,0,0,0,0,"Y","N","Y","B","N",NA,"EDSC","CMD","COMMODITIES FUNDS","CMP","Commodities Precious Metals Funds",NA,NA,"EQ",NA
"988",50491,NA,NA,"92193279","VIOG","Vanguard Admiral Funds: Vanguard S&P Small-Cap 600 Growth Index Fund; ETF",2018-03-29,324.3,NA,"Vanguard Group Inc","F",2018-03-29,149.1,2010-09-07,98.52,0,0,0.74,0,0.67,-0.03,0.1,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDCS","SG","SMALL-CAP FUNDS","SCGE","Small-Cap Growth Funds",NA,NA,"EQ",NA
"2437",53369,NA,NA,"74347W16","UVXY","ProShares Trust II: ProShares Ultra VIX Short-Term Futures ETF",2018-03-29,323.6,NA,"ProFunds Group","F",2018-03-29,19.0035,2011-10-03,0,0,0,0,0,0,100,0,0,0,0,0,0,"Y","N","Y","B","N",NA,"M","S","SPECIALTY/MISCELLANEOUS FUNDS","S","Specialty/Miscellaneous Funds",NA,NA,"EQ",NA
"216",29238,501018,80721,"78464A86","XSD","SPDR Series Trust: SPDR S&P Semiconductor ETF",2018-03-29,322.1,46,"State Street Bank and Trust Company","F",2018-03-29,70.0298,2006-01-31,98.91,0,0,0,0,0.04,0,1.05,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDST","TK","SCIENCE & TECHNOLOGY FUNDS","TK","Science & Technology Funds",NA,NA,"EQ","UNITED STATES"
"1865",61380,NA,NA,"78463X42","QEMM","SPDR Index Shares Funds: SPDR MSCI Emerging Markets StrategicFactors ETF",2018-03-29,321,NA,"State Street Bank and Trust Company","F",2018-03-29,64.8486,2014-06-05,83.37,1.34,0,0,0,0.04,0.18,0.28,0,0,0,14.79,0,"Y","N","Y","D","N",NA,"EFRM","EM","EMERGING MARKETS FUNDS","EM","Emerging Markets Funds",NA,NA,"EQ",NA
"1013",50897,NA,NA,"37954Y87","URA","Global X Funds: Global X Uranium ETF",2018-03-29,319.8,NA,"Global X Management Company LLC","F",2018-03-29,12.1,2010-11-04,99.34,0,0,0,0,0,0,0.66,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDSM","BM","BASIC MATERIALS FUNDS","BM","Basic Materials Funds",NA,NA,"EQ",NA
"2543",54581,NA,NA,"22542D38","UGAZ","VelocityShares 3x Long Natural Gas ETN",2015-12-31,319.7,NA,"VelocityShares","N",2015-12-31,2.4672,2012-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","N","Y","B","N",NA,"EDYH","DL","EQUITY LEVERAGE FUNDS","DL","Equity Leverage Funds",NA,NA,"EQ",NA
"121",16458,500618,57328,"46428771","IYZ","iShares Trust: iShares US Telecommunications ETF",2018-03-29,319.3,23,"BlackRock Fund Advisors","F",2018-03-29,27.06,2000-05-22,99.93,0,0,0,0,0,0.05,0.02,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDSA","TL","TELECOMMUNICATION FUNDS","TL","Telecommunication Funds",NA,NA,"EQ","UNITED STATES"
"379",43589,501337,82558,"33734X11","FXG","First Trust Exchange-Traded AlphaDEX Fund: First Trust Consumer Staples AlphaDEX Fund",2018-03-29,316.7,36,"First Trust Advisors LP","F",2018-03-29,46.9131,2007-05-08,99.83,0,0,0,0,0.09,0,0.07,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDSG","CG","CONSUMER GOODS FUNDS","CG","Consumer Goods Funds",NA,NA,"EQ","UNITED STATES"
"2234",85922,NA,NA,"47804J20","JHMM","John Hancock Exchange-Traded Fund Trust: John Hancock Multifactor Mid Cap ETF",2018-03-29,314.7,NA,"John Hancock Group","F",2018-03-29,34.2114,2015-09-29,99.9,0,0,0,0,0.07,0,0.03,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDCM","MC","MID-CAP FUNDS","MCCE","Mid-Cap Core Funds",NA,NA,"EQ",NA
"1643",58114,NA,NA,"46432F37","SIZE","iShares Trust: iShares Edge MSCI USA Size Factor ETF",2018-03-29,314.1,NA,"BlackRock Fund Advisors","F",2018-03-29,82.66,2013-04-16,99.72,0,0,0,0,0,0.21,0.07,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDYG","G","GROWTH FUNDS","MLCE","Multi-Cap Core Funds",NA,NA,"EQ",NA
"1304",37162,NA,NA,"76139610","RWL","RevenueShares ETF Trust: RevenueShares Large Cap Fund",2015-09-30,313.3,NA,"VTL Associates LLC","F",2015-09-30,37.7404,2008-02-22,99.86,0,0,0,0,0,0.12,0,0,0,0,0,0,"Y","N","Y","E","N",NA,"EDYG","G","GROWTH FUNDS","LCCE","Large-Cap Core Funds",NA,NA,"EQ",NA
"694",47065,NA,NA,"33736Q10","QABA","First Trust Exchange-Traded Fund: First Trust NASDAQ ABA Community Bank Index Fund",2018-03-29,312.9,NA,"First Trust Advisors LP","F",2018-03-29,53.0237,2009-06-29,100,0,0,0,0,0,0,0,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDSF","FS","FINANCIAL SERVICES FUNDS","FS","Financial Services Funds",NA,NA,"EQ",NA
"306",29235,501202,81140,"78464A74","XES","SPDR Series Trust: SPDR S&P Oil & Gas Equipment & Services ETF",2018-03-29,312.6,48,"State Street Bank and Trust Company","F",2018-03-29,14.5741,2006-06-19,98.47,0,0,0,0,0.05,0,1.48,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDSN","NR","NATURAL RESOURCES FUNDS","NR","Natural Resources Funds",NA,NA,"EQ","UNITED STATES"
"2526",54510,NA,NA,"46429B61","SMIN","iShares Trust: iShares MSCI India Small-Cap ETF",2018-03-29,312.5,NA,"BlackRock Fund Advisors",NA,2018-03-29,46.99,2012-02-08,98.46,0,0,0,0,0,1.51,0,0,0,0,0.03,0,"Y","N","Y","D","N",NA,"EFRI","INR","INDIA REGION FUNDS","INR","India Region Funds",NA,NA,"EQ",NA
